sweeps,beta,magnetisation,energy,G,seed
524,0.4,-0.0175,-2.155,0.5475,0
525,0.4,-0.01,-2.125,0.5425,0
526,0.4,0.04875,-2.175,0.5175,0
527,0.4,0.0825,-2.24,0.5525,0
528,0.4,0.02625,-2.2,0.5675,0
529,0.4,0.0375,-2.17,0.545,0
530,0.4,-0.0025,-2.11,0.5275,0
531,0.4,0.0075,-2.075,0.5325,0
532,0.4,-0.05125,-2.21,0.565,0
533,0.4,-0.0525,-2.24,0.5625,0
534,0.4,-0.04875,-2.155,0.545,0
535,0.4,-0.0325,-2.135,0.545,0
536,0.4,-0.02375,-2.21,0.5575,0
537,0.4,0.00125,-2.215,0.5625,0
538,0.4,-0.01375,-2.13,0.5575,0
539,0.4,0.0425,-2.115,0.5375,0
540,0.4,0.0475,-2.205,0.5625,0
541,0.4,0.035,-2.185,0.5575,0
542,0.4,0.04,-2.29,0.5875,0
543,0.4,0.075,-2.145,0.5425,0
544,0.4,0.12125,-2.23,0.555,0
545,0.4,0.1275,-2.21,0.5425,0
546,0.4,0.17875,-2.265,0.58,0
547,0.4,0.2075,-2.29,0.595,0
548,0.4,0.1925,-2.32,0.5725,0
549,0.4,0.21125,-2.225,0.5825,0
550,0.4,0.1725,-2.16,0.545,0
551,0.4,0.18125,-2.205,0.565,0
552,0.4,0.1625,-2.11,0.53,0
553,0.4,0.155,-2.03,0.505,0
554,0.4,0.14875,-1.965,0.48,0
555,0.4,0.11875,-1.955,0.4725,0
556,0.4,0.125,-1.955,0.48,0
557,0.4,0.135,-2.015,0.4975,0
558,0.4,0.15875,-2.055,0.5125,0
559,0.4,0.1575,-2.105,0.5225,0
560,0.4,0.115,-2.12,0.5125,0
561,0.4,0.15125,-2.095,0.5075,0
562,0.4,0.11375,-2.105,0.5275,0
563,0.4,0.1425,-2.12,0.53,0
564,0.4,0.12375,-1.96,0.51,0
565,0.4,0.09375,-2.085,0.56,0
566,0.4,0.08875,-2.085,0.545,0
567,0.4,0.095,-2.135,0.53,0
568,0.4,0.1075,-2.09,0.545,0
569,0.4,0.06375,-2.165,0.535,0
570,0.4,0.09,-1.945,0.4875,0
571,0.4,0.0925,-2.085,0.505,0
572,0.4,0.085,-1.96,0.4975,0
573,0.4,0.06625,-1.935,0.475,0
574,0.4,0.0525,-2.03,0.505,0
575,0.4,0.07375,-2.095,0.5525,0
576,0.4,0.13875,-2.135,0.56,0
577,0.4,0.1325,-2,0.51,0
578,0.4,0.13,-2.075,0.54,0
579,0.4,0.14625,-2.08,0.555,0
580,0.4,0.175,-2.2,0.5625,0
581,0.4,0.145,-2.055,0.5,0
582,0.4,0.09125,-2.125,0.53,0
583,0.4,0.13125,-2.125,0.5125,0
584,0.4,0.10625,-2.025,0.525,0
585,0.4,0.115,-2.125,0.535,0
586,0.4,0.1125,-2.115,0.5475,0
