sweeps,beta,magnetisation,energy,G,seed
60,0.45,0.80875,-3.17,0.7875,17
61,0.45,0.8025,-3.11,0.7725,17
62,0.45,0.80375,-3.09,0.77,17
63,0.45,0.81,-3.045,0.765,17
64,0.45,0.8225,-3.165,0.7975,17
65,0.45,0.81625,-3.095,0.77,17
66,0.45,0.8125,-3.12,0.785,17
67,0.45,0.82,-3.155,0.7925,17
68,0.45,0.845,-3.265,0.815,17
69,0.45,0.82125,-3.14,0.78,17
